URL in opinion,CL ID,Case name,CL address,Date opinion was filed,Opinion download URL,Citation count
http://www.albany.edu/sourcebook/pdf/t5222009.pdf,625832,Missouri v. Frye,http://courtlistener.org/opinion/625832/missouri-v-frye/,2012-03-21,http://www.supremecourt.gov/opinions/11pdf/10-444.pdf,116
http://bjs.ojp.usdoj.gov/content/pub/pdf/fssc06st.pdf;,625832,Missouri v. Frye,http://courtlistener.org/opinion/625832/missouri-v-frye/,2012-03-21,http://www.supremecourt.gov/opinions/11pdf/10-444.pdf,116
http://www.albany.edu/sourcebook/pdf/t5222009.pdf,626055,Missouri v. Frye,http://courtlistener.org/opinion/626055/missouri-v-frye/,2012-03-21,http://www.supremecourt.gov/opinions/11pdf/10-444.pdf,116
http://bjs.ojp.usdoj.gov/content/pub/pdf/fssc06st.pdf;,626055,Missouri v. Frye,http://courtlistener.org/opinion/626055/missouri-v-frye/,2012-03-21,http://www.supremecourt.gov/opinions/11pdf/10-444.pdf,116
http://www.ice.gov/doclib/dro/,626454,Florence v. Board of Chosen Freeholders of County of Burlington,http://courtlistener.org/opinion/626454/florence-v-board-of-chosen-freeholders-of-county-o/,2012-04-02,http://www.supremecourt.gov/opinions/11pdf/10-945.pdf,6
http://www.usmarshals.gov/foia,626454,Florence v. Board of Chosen Freeholders of County of Burlington,http://courtlistener.org/opinion/626454/florence-v-board-of-chosen-freeholders-of-county-o/,2012-04-02,http://www.supremecourt.gov/opinions/11pdf/10-945.pdf,6
http://www.bop.gov/policy/progstat/5140_038.pdf.,626454,Florence v. Board of Chosen Freeholders of County of Burlington,http://courtlistener.org/opinion/626454/florence-v-board-of-chosen-freeholders-of-county-o/,2012-04-02,http://www.supremecourt.gov/opinions/11pdf/10-945.pdf,6
http://www.justice.gov/ofdt/fpbds02232011.pdf,626454,Florence v. Board of Chosen Freeholders of County of Burlington,http://courtlistener.org/opinion/626454/florence-v-board-of-chosen-freeholders-of-county-o/,2012-04-02,http://www.supremecourt.gov/opinions/11pdf/10-945.pdf,6
http://www.ice.gov/doclib/dro/detention-standards/pdf/environmental_health_and_safety.pdf;,626454,Florence v. Board of Chosen Freeholders of County of Burlington,http://courtlistener.org/opinion/626454/florence-v-board-of-chosen-freeholders-of-county-o/,2012-04-02,http://www.supremecourt.gov/opinions/11pdf/10-945.pdf,6
http://www.whitehouse.gov/omb/legislative_sap_107-2_S812-S,728300,"Caraco Pharmaceutical Laboratories, Ltd. v. Novo Nordisk A/s",http://courtlistener.org/opinion/728300/caraco-pharmaceutical-laboratories-ltd-v-novo-nord/,2012-04-17,http://www.supremecourt.gov/opinions/11pdf/10-844.pdf,2
http://www.uscourts.gov/Statistics/BankruptcyStatistics.aspx,799760,Hall v. United States,http://courtlistener.org/opinion/799760/hall-v-united-states/,2012-05-14,http://www.supremecourt.gov/opinions/11pdf/10-875.pdf,4
http://www.fcc.gov/Bureaus/OPP/working_papers/oppwp31.pdf,799969,National Cable & Telecommunications Assn. v. Brand X Internet Services,http://courtlistener.org/opinion/799969/national-cable-telecommunications-assn-v-brand-x-i/,2005-06-27,http://www.supremecourtus.gov/opinions/04pdf/04-277.pdf,326
